,image,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Team,draft_age,year,draft_pick,,drop,yacpcnum,yacpc,adotnum,adot,tpmtnum,tpmt,ccnum,cc,mannum,man,pffnum,pff,yprr_p,yprr,,tprr_p,tprr,open_p,open,catch_p,name,catch,yac,yac_p,draft_agep,htp,ht,wtp,wt,dashp,dash,vertp,vert,broadp,broad,conep,cone,shuttlep,shuttle,rasp,ras,breakoutagep,breakout_age,best_ppg ,hs,freshr,freshrp,freshy,freshyp,fresht,freshtp,sophr,sophrp,sophy,sophyp,sopht,sophtp,junr,junrp,juny,junyp,junt,juntp,senr,senrp,seny,senyp,sent,sentp,senrr,senrrp,senrry,senrryp,senrrt,senrrtp,best_ppgp,years_removed,adp,adpp
11,https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/imoqxbyoluisz2tmoral,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Toledo_Rockets_logo.svg/1200px-Toledo_Rockets_logo.svg.png,Toledo,22.8,2019,66,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.859,3.01,,0.803,0.28,0.766,96,0.142,Diontae Johnson,60,87,0.489,0.19,0.216,5104,0.226,183,0.177,4.53,0.158,33.5,0.323,123,0.329,7.09,0.107,4.45,0.029,4.18,0.348,20.8,12.87,4,5.7,0.493,7,0.507,9.1,0.599,0,0,0,0,0,0,27.7,0.773,32.6,0.745,46.4,0.887,22.2,0.404,25.7,0.427,25,0.337,,,,,,,0.914,"2,3",29,0.397
17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3915416.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Maryland_Terrapins_logo.svg/1200px-Maryland_Terrapins_logo.svg.png,Maryland,21,2018,24,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.761,2.83,,0.986,0.36,0.95,100,0.957,D.J. Moore,100,88,0.532,0.905,0.414,6000,0.73,210,0.615,4.42,0.8,39.5,0.882,132,0.589,6.95,0.92,4.07,0.883,9.65,0.957,18.4,12.62,3,14.9,0.817,18.6,0.845,21,0.824,22.2,0.718,21.7,0.556,40,0.901,46.5,0.993,53.7,1,53.3,0.965,,0,,0,,0,,,,,,,0.905,"4,6",12,0.784
12,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Jaylen-Waddle-WR-Alabama.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,Alabama,22.3,2021,6,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.993,3.57,,0.401,0.24,0.738,95,0.298,Jaylen Waddle,73,99,0.922,0.299,0.129,5094,0.157,180,,-,,-,,-,,-,,-,,-,0.138,21.8,12.61,3,15,0.824,17.5,0.831,13.5,0.704,11.5,0.31,12.6,0.296,12.5,0.324,18.7,0.44,27.5,0.603,20.8,0.376,,0,,0,,0,,,,,,,0.897,"1,2",10,0.862
15,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4360438.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/ASU_Athletics_Logo.svg/2560px-ASU_Athletics_Logo.svg.png,Arizona State,22.1,2020,25,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.711,2.73,,0.401,0.24,0.284,80,0.142,Brandon Aiyuk,60,97,0.816,0.438,0.362,5115,0.609,205,0.271,4.5,0.853,40,0.71,128,,-,,-,0.583,8.47,0.406,20.5,12.12,4,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0.177,15.7,0.191,15,0.213,30.3,0.854,40,0.921,41.7,0.809,,,,,,,0.888,"3,4",19,0.595
21,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Nico-Collins-WR-Michigan.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Michigan_Wolverines_logo.svg/1200px-Michigan_Wolverines_logo.svg.png,Michigan,22.1,2021,89,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.282,2.14,,0.127,0.2,0.128,62,0.858,Nico Collins,97,66,0.206,0.438,0.957,6041,0.826,215,0.469,4.45,0.632,37.5,0.527,125,0.89,6.71,0.373,4.32,0.874,9.57,0.667,19.5,11.96,4,10.6,0.655,7.9,0.549,0,0,17,0.535,22.5,0.592,25,0.613,17.6,0.369,24.2,0.454,30.7,0.596,0,0,0,0,0,0,,,,,,,0.879,"2,3",23,0.5
14,https://assets-sports.thescore.com/football/player/119710/headshot.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,Alabama,22.4,2021,10,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.887,3.1,,0.401,0.24,0.589,91,0.73,DeVonta Smith,93,99,0.922,0.299,0.448,6002,0.026,166,,-,,-,,-,,-,,-,,-,0.333,20.8,11.93,4,5.5,0.472,8.3,0.563,15,0.746,16.2,0.486,16.5,0.444,13.2,0.352,23.8,0.617,28.3,0.624,29.2,0.56,27.6,0.753,39.9,0.899,54.8,0.955,,,,,,,0.871,"2,3",9,0.862
18,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4239993.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/1200px-Clemson_Tigers_logo.svg.png,Clemson,21.2,2020,33,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.951,3.37,,0.866,0.29,0.95,100,0.688,Tee Higgins,92,94,0.709,0.818,0.897,6035,0.835,216,0.167,4.54,0.032,31,,-,,-,0.027,4.53,0.019,4.13,0.92,18.6,11.87,3,11,0.704,20.9,0.859,23.8,0.859,18,0.599,22.4,0.585,32.4,0.768,18.2,0.418,27.1,0.574,32.5,0.638,,0,,0,,0,,,,,,,0.862,"2,3",13,0.733
13,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4035687.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/686px-USC_Trojans_logo.svg.png,USC,22.5,2020,34,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.331,2.21,,0.239,0.22,0.362,84,0.922,Michael Pittman Jr.,99,73,0.262,0.299,0.931,6040,0.896,223,0.229,4.52,0.516,36.5,0.172,121,0.589,6.96,0.813,4.14,0.495,8.27,0.319,20.9,11.81,4,1.2,0.296,2.5,0.352,0,0,11.6,0.317,15,0.38,11.7,0.289,20.2,0.468,30.5,0.716,40,0.794,27.7,0.775,29.2,0.64,31.4,0.528,,,,,,,0.853,"2,4",16,0.698
26,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Jayden-Reed-WR-MichiganState.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Michigan_State_Athletics_logo.svg/1200px-Michigan_State_Athletics_logo.svg.png,Michigan State,22.7,2023,50,,0.213,4,0.141,11.8,0.484,18.3,0.066,64.7,0.906,65.8,0.234,71.2,0.125,0.296,2.18,,0.521,0.25,0.305,82,0.426,Jayden Reed,81,96,0.773,0.241,0.259,5107,0.287,187,0.531,4.45,0.158,33.5,0.172,121,,-,0.373,4.29,0.252,6.74,0.964,18.4,11.56,5,25.1,0.93,27.8,0.951,44.4,0.993,0,0,0,0,0,0,25,0.667,24.3,0.461,27.2,0.496,24.3,0.573,31.1,0.685,37,0.73,23.3,0.448,24.1,0.345,23.9,0.448,0.845,1,24,0.474
19,https://www.playerprofiler.com/wp-content/uploads/2021/04/DJ-Chark.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/2560px-LSU_Athletics_logo.svg.png,LSU,21.5,2018,61,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.817,2.92,,0.31,0.23,0.887,99,0.957,D.J. Chark Jr.,100,50,0.099,0.679,0.828,6027,0.548,203,0.854,4.34,0.853,40,0.785,129,,-,,-,0.981,9.94,0.551,20,11.3,4,0,0,0,0,0,0,16.3,0.493,22.3,0.577,27.3,0.69,13.4,0.177,33,0.773,17.6,0.27,,0,,0,,0,,,,,,,0.836,"2,3",29,0.397
20,https://www.si.com/.image/t_share/MTgyMDk5MTA2Mjg0NDQ2ODUx/chris-olave.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,Ohio State,21.5,2022,11,,0.328,4.2,0.203,14.7,0.844,65,0,62.5,0.891,68.9,0.344,79.9,0.531,0.754,2.8,,0.62,0.26,0.95,100,0.957,Chris Olave,100,44,0.064,0.679,0.56,6006,0.287,187,0.74,4.39,0.053,32,0.398,124,,-,,-,0.641,8.64,0.79,19.2,11.29,4,6.1,0.507,7.8,0.542,7.6,0.556,18.1,0.606,23,0.599,25,0.613,36.1,0.943,39.7,0.915,35.7,0.73,20.2,0.315,20.5,0.225,30.9,0.517,,,,,,,0.828,"1,2",7,0.862
16,https://www.si.com/.image/t_share/MTkwMzU2NjU0Njk5NTg2OTY0/usc-wr-jordan-addison.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/686px-USC_Trojans_logo.svg.png,USC,20.9,2023,23,,0.82,7,0.75,10.7,0.297,9.83,0.246,22.2,0.047,76.2,0.516,82.4,0.563,0.683,2.64,,0.62,0.26,0.447,87,0.355,Jordan Addison,76,91,0.624,0.927,0.293,5111,0.052,171,0.375,4.49,0.189,34,0.258,122,0.411,7.05,0.68,4.19,0.175,5.94,0.884,18.6,10.94,3,24.5,0.915,23.3,0.894,28.6,0.894,27.2,0.852,33.7,0.88,38.6,0.873,21.8,0.532,18.6,0.255,18.6,0.312,,0,,0,,0,,,,,,,0.819,1,8,0.862
22,https://www.playerprofiler.com/wp-content/uploads/2018/01/Christian-Kirk-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Texas_A%26M_University_logo.svg/2492px-Texas_A%26M_University_logo.svg.png,Texas A&M,21.4,2018,47,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.415,2.3,,0.803,0.28,0.766,96,0.617,Christian Kirk,91,52,0.128,0.723,0.207,5103,0.496,201,0.438,4.47,0.347,35.5,0.043,115,0.315,7.09,0.133,4.45,0.214,6.24,0.877,18.8,10.88,3,29.3,0.979,30.4,0.972,28,0.887,32.7,0.944,28,0.782,36,0.845,28.1,0.787,28.1,0.617,45.5,0.865,,0,,0,,0,,,,,,,0.81,"4,5",15,0.716
25,https://www.si.com/.image/t_share/MTkwODkwMTI2MTQ0OTcyNDcw/smu-wr-rashee-rice.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/1200px-SMU_Mustang_logo.svg.png,SMU,21.7,2023,55,,0.197,6.2,0.5,11.2,0.406,5.05,0.623,48.5,0.484,62.1,0.125,85.6,0.781,0.451,2.34,,0.62,0.26,0.241,78,0.206,Rashee Rice,65,98,0.858,0.533,0.517,6005,0.574,204,0.271,4.51,0.947,41,0.71,128,0.466,7.02,0.627,4.23,0.835,9.53,0.471,20.4,10.81,4,10.4,0.641,13,0.718,3.8,0.486,19.5,0.655,21.4,0.542,21.7,0.57,20.4,0.482,18.3,0.241,23.1,0.418,28.8,0.787,32.9,0.764,27.8,0.438,,,,,,,0.802,1,18,0.621
23,https://www.playerprofiler.com/wp-content/uploads/2018/01/MG.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Colorado_State_Rams_logo.svg/1200px-Colorado_State_Rams_logo.svg.png,Colorado State,22.1,2018,81,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.923,3.18,,1,0.37,0.95,100,0.816,Michael Gallup,96,61,0.184,0.438,0.56,6006,0.609,205,0.271,4.51,0.421,36,0.258,122,0.658,6.95,0.213,4.37,0.165,5.87,0.181,21.5,10.8,4,0,0,0,0,0,0,0,0,0,0,0,0,34.9,0.936,40,0.922,48.3,0.908,35.2,0.955,37.3,0.876,24.1,0.315,,,,,,,0.793,"2,3",19,0.586
24,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/172491.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,Ohio State,24.5,2019,76,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.134,1.93,,0,0.16,0.142,66,0.801,Terry McLaurin,95,79,0.305,0.007,0.431,6001,0.696,208,0.854,4.35,0.632,37.5,0.527,125,0.493,7.01,0.787,4.15,0.864,9.56,0.007,23.8,10.77,5,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0.064,4.1,0.064,7.7,0.121,10.9,0.101,12.8,0.079,16.5,0.169,10.3,0.034,16.3,0.103,25.5,0.517,0.784,"3,4",31,0.345
34,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Zay-Flowers-WR-BostonCollege.png,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Boston_College_Eagles_logo.svg/1200px-Boston_College_Eagles_logo.svg.png,Boston College,22.3,2023,22,,0.098,6.4,0.563,10.4,0.234,5.2,0.59,58.3,0.797,59.4,0.047,76.1,0.297,0.317,2.19,,0.401,0.24,0.66,93,0.227,Zay Flowers,66,99,0.922,0.372,0.112,5092,0.209,182,0.667,4.42,0.347,35.5,0.667,127,,-,,-,0.505,8.29,0.594,20,10.5,4,13.7,0.782,14.9,0.768,15,0.746,23.1,0.768,28.5,0.796,39.1,0.887,26,0.723,33.6,0.794,38.5,0.759,29.8,0.831,36.3,0.843,57.1,0.966,,,,,,,0.776,1,10,0.853
27,https://static.www.nfl.com/image/private/t_headshot_desktop/league/wgxeuyqliuweurzeigyh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/795px-Oklahoma_Sooners_logo.svg.png,Oklahoma,21.8,2019,25,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,1,3.66,,0.803,0.28,0.887,99,0.404,Marquise Brown,79,98,0.858,0.511,0.121,5093,0.026,166,,-,,-,,-,,-,,-,0.515,8.3,0.217,21.3,10.47,3,0,0,0,0,0,0,19.8,0.662,23.3,0.613,15.8,0.444,31.9,0.887,34,0.809,26.9,0.475,,0,,0,,0,,,,,,,0.767,"2,3",17,0.647
28,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4241475.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,Alabama,21.7,2020,12,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.38,2.23,,0.014,0.18,0.121,61,0.475,Henry Ruggs III,84,98,0.858,0.584,0.276,5110,0.322,188,0.99,4.27,0.968,42,0.849,131,,-,,-,0.845,9.54,0.551,20,10.43,3,5.9,0.5,8.4,0.57,21.4,0.831,15.3,0.465,15.3,0.387,21.2,0.563,15.1,0.262,18.2,0.227,15.4,0.22,,0,,0,,0,,,,,,,0.759,1,12,0.784
29,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/210776.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Notre_Dame_Fighting_Irish_logo.svg/1200px-Notre_Dame_Fighting_Irish_logo.svg.png,Notre Dame,21.8,2020,49,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.085,1.84,,0.127,0.2,0.184,71,0.284,Chase Claypool,70,88,0.532,0.533,0.966,6042,1,238,0.615,4.42,0.895,40.5,0.613,126,,-,,-,1,9.98,0.406,20.5,10.35,4,3.3,0.38,2.7,0.359,0,0,18.9,0.641,20.4,0.507,12.1,0.31,18.7,0.44,19.1,0.27,17.4,0.262,26.1,0.674,31.6,0.719,35.1,0.64,,,,,,,0.75,"1,2",24,0.457
30,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Garrett-Wilson-WR-OhioState.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,Ohio State,21.5,2022,10,,0.262,6,0.438,11.6,0.438,3.68,0.918,61.5,0.875,85.9,0.859,84.5,0.688,0.711,2.73,,0.521,0.25,0.83,98,0.759,Garrett Wilson,94,92,0.645,0.679,0.379,5116,0.226,183,0.781,4.38,0.421,36,0.323,123,,-,0.213,4.36,0.427,7.77,0.507,20.1,10,3,11.1,0.718,11.7,0.69,10.4,0.641,27.2,0.852,34.4,0.901,27.2,0.683,23.7,0.596,25.3,0.518,31.2,0.603,,0,,0,,0,,,,,,,0.741,"1,2",4,0.966
31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128429.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/1200px-SMU_Mustang_logo.svg.png,SMU,22.5,2018,40,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.331,2.21,,0.62,0.26,0.404,86,0.511,Courtland Sutton,86,48,0.085,0.241,0.871,6033,0.843,218,0.156,4.54,0.347,35.5,0.398,124,0.986,6.57,0.84,4.11,0.942,9.81,0.594,19.9,9.9,4,3.5,0.408,5.3,0.465,0,0,24.3,0.803,33,0.866,47.4,0.965,30.2,0.837,39.3,0.908,45.5,0.865,24,0.539,28.6,0.607,34.3,0.584,,,,,,,0.733,"5,6",16,0.672
32,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/203573.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,Alabama,21,2020,15,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.831,2.95,,0.521,0.25,0.887,99,0.496,Jerry Jeudy,85,98,0.858,0.876,0.603,6010,0.391,193,0.51,4.45,0.295,35,0.118,120,,-,0.04,4.53,0.262,6.76,0.725,19.4,9.74,3,12,0.754,17.1,0.817,12.5,0.683,22.6,0.746,27.1,0.746,26.9,0.669,26.9,0.752,26.2,0.56,20.8,0.376,,0,,0,,0,,,,,,,0.724,"1,3",10,0.862
